"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","2021-10",3.685259,
"AUT","CPI","TOT","AGRWTH","M","2021-11",4.278607,
"AUT","CPI","TOT","AGRWTH","M","2021-12",4.253215,
"AUT","CPI","TOT","AGRWTH","M","2022-01",4.985045,
"AUT","CPI","TOT","AGRWTH","M","2022-02",5.753968,
"AUT","CPI","TOT","AGRWTH","M","2022-03",6.771345,
"AUT","CPI","TOT","AGRWTH","M","2022-04",7.170923,
"AUT","CPI","TOT","AGRWTH","M","2022-05",7.737512,
"AUT","CPI","TOT","AGRWTH","M","2022-06",8.674464,
"AUT","CPI","TOT","AGRWTH","M","2022-07",9.426628,
"AUT","CPI","TOT","AGRWTH","M","2022-08",9.320389,
"AUT","CPI","TOT","AGRWTH","M","2022-09",10.62802,
"AUT","CPI","TOT","AGRWTH","M","2022-10",11.04707,
"AUT","CPI","TOT","AGRWTH","M","2022-11",10.5916,
"AUT","CPI","TOT","AGRWTH","M","2022-12",10.1518,
"AUT","CPI","TOT","AGRWTH","M","2023-01",11.20608,
"AUT","CPI","TOT","AGRWTH","M","2023-02",10.8818,
"AUT","CPI","TOT","AGRWTH","M","2023-03",9.191176,
"AUT","CPI","TOT","AGRWTH","M","2023-04",9.624198,
"AUT","CPI","TOT","AGRWTH","M","2023-05",8.909091,
"AUT","CPI","TOT","AGRWTH","M","2023-06",7.982063,
"AUT","CPI","TOT","AGRWTH","M","2023-07",7.015986,
"AUT","CPI","TOT","AGRWTH","M","2023-08",7.371225,
"AUT","CPI","TOT","AGRWTH","M","2023-09",6.026201,
"AUT","CPI","TOT","AGRWTH","M","2023-10",5.363322,
"BEL","CPI","TOT","AGRWTH","M","2021-10",4.159066,
"BEL","CPI","TOT","AGRWTH","M","2021-11",5.636762,
"BEL","CPI","TOT","AGRWTH","M","2021-12",5.708284,
"BEL","CPI","TOT","AGRWTH","M","2022-01",7.59298,
"BEL","CPI","TOT","AGRWTH","M","2022-02",8.039198,
"BEL","CPI","TOT","AGRWTH","M","2022-03",8.30694,
"BEL","CPI","TOT","AGRWTH","M","2022-04",8.306277,
"BEL","CPI","TOT","AGRWTH","M","2022-05",8.968933,
"BEL","CPI","TOT","AGRWTH","M","2022-06",9.649595,
"BEL","CPI","TOT","AGRWTH","M","2022-07",9.621381,
"BEL","CPI","TOT","AGRWTH","M","2022-08",9.944163,
"BEL","CPI","TOT","AGRWTH","M","2022-09",11.27499,
"BEL","CPI","TOT","AGRWTH","M","2022-10",12.26795,
"BEL","CPI","TOT","AGRWTH","M","2022-11",10.62873,
"BEL","CPI","TOT","AGRWTH","M","2022-12",10.35079,
"BEL","CPI","TOT","AGRWTH","M","2023-01",8.045977,
"BEL","CPI","TOT","AGRWTH","M","2023-02",6.617956,
"BEL","CPI","TOT","AGRWTH","M","2023-03",6.667223,
"BEL","CPI","TOT","AGRWTH","M","2023-04",5.60413,
"BEL","CPI","TOT","AGRWTH","M","2023-05",5.197917,
"BEL","CPI","TOT","AGRWTH","M","2023-06",4.154376,
"BEL","CPI","TOT","AGRWTH","M","2023-07",4.13653,
"BEL","CPI","TOT","AGRWTH","M","2023-08",4.087062,
"BEL","CPI","TOT","AGRWTH","M","2023-09",2.387416,
"BEL","CPI","TOT","AGRWTH","M","2023-10",0.3587864,
"BEL","CPI","TOT","AGRWTH","M","2023-11",0.7582864,
"CAN","CPI","TOT","AGRWTH","M","2021-10",4.654545,
"CAN","CPI","TOT","AGRWTH","M","2021-11",4.720407,
"CAN","CPI","TOT","AGRWTH","M","2021-12",4.803493,
"CAN","CPI","TOT","AGRWTH","M","2022-01",5.137482,
"CAN","CPI","TOT","AGRWTH","M","2022-02",5.687545,
"CAN","CPI","TOT","AGRWTH","M","2022-03",6.661891,
"CAN","CPI","TOT","AGRWTH","M","2022-04",6.771204,
"CAN","CPI","TOT","AGRWTH","M","2022-05",7.730496,
"CAN","CPI","TOT","AGRWTH","M","2022-06",8.132957,
"CAN","CPI","TOT","AGRWTH","M","2022-07",7.5896,
"CAN","CPI","TOT","AGRWTH","M","2022-08",7.012623,
"CAN","CPI","TOT","AGRWTH","M","2022-09",6.857943,
"CAN","CPI","TOT","AGRWTH","M","2022-10",6.879777,
"CAN","CPI","TOT","AGRWTH","M","2022-11",6.796116,
"CAN","CPI","TOT","AGRWTH","M","2022-12",6.319445,
"CAN","CPI","TOT","AGRWTH","M","2023-01",5.918789,
"CAN","CPI","TOT","AGRWTH","M","2023-02",5.245232,
"CAN","CPI","TOT","AGRWTH","M","2023-03",4.298187,
"CAN","CPI","TOT","AGRWTH","M","2023-04",4.405875,
"CAN","CPI","TOT","AGRWTH","M","2023-05",3.357472,
"CAN","CPI","TOT","AGRWTH","M","2023-06",2.812296,
"CAN","CPI","TOT","AGRWTH","M","2023-07",3.265839,
"CAN","CPI","TOT","AGRWTH","M","2023-08",3.997379,
"CAN","CPI","TOT","AGRWTH","M","2023-09",3.798297,
"CAN","CPI","TOT","AGRWTH","M","2023-10",3.120936,
"CZE","CPI","TOT","AGRWTH","M","2021-10",5.798394,
"CZE","CPI","TOT","AGRWTH","M","2021-11",5.976807,
"CZE","CPI","TOT","AGRWTH","M","2021-12",6.613048,
"CZE","CPI","TOT","AGRWTH","M","2022-01",9.876543,
"CZE","CPI","TOT","AGRWTH","M","2022-02",11.09155,
"CZE","CPI","TOT","AGRWTH","M","2022-03",12.74165,
"CZE","CPI","TOT","AGRWTH","M","2022-04",14.16084,
"CZE","CPI","TOT","AGRWTH","M","2022-05",15.96859,
"CZE","CPI","TOT","AGRWTH","M","2022-06",17.1875,
"CZE","CPI","TOT","AGRWTH","M","2022-07",17.52577,
"CZE","CPI","TOT","AGRWTH","M","2022-08",17.23549,
"CZE","CPI","TOT","AGRWTH","M","2022-09",17.97274,
"CZE","CPI","TOT","AGRWTH","M","2022-10",15.09275,
"CZE","CPI","TOT","AGRWTH","M","2022-11",16.24579,
"CZE","CPI","TOT","AGRWTH","M","2022-12",15.75859,
"CZE","CPI","TOT","AGRWTH","M","2023-01",17.49599,
"CZE","CPI","TOT","AGRWTH","M","2023-02",16.71949,
"CZE","CPI","TOT","AGRWTH","M","2023-03",14.96493,
"CZE","CPI","TOT","AGRWTH","M","2023-04",12.71057,
"CZE","CPI","TOT","AGRWTH","M","2023-05",11.06095,
"CZE","CPI","TOT","AGRWTH","M","2023-06",9.703704,
"CZE","CPI","TOT","AGRWTH","M","2023-07",8.77193,
"CZE","CPI","TOT","AGRWTH","M","2023-08",8.515284,
"CZE","CPI","TOT","AGRWTH","M","2023-09",6.859206,
"CZE","CPI","TOT","AGRWTH","M","2023-10",8.498169,
"DNK","CPI","TOT","AGRWTH","M","2021-10",2.989393,
"DNK","CPI","TOT","AGRWTH","M","2021-11",3.378378,
"DNK","CPI","TOT","AGRWTH","M","2021-12",3.094778,
"DNK","CPI","TOT","AGRWTH","M","2022-01",4.343629,
"DNK","CPI","TOT","AGRWTH","M","2022-02",4.798464,
"DNK","CPI","TOT","AGRWTH","M","2022-03",5.369128,
"DNK","CPI","TOT","AGRWTH","M","2022-04",6.685769,
"DNK","CPI","TOT","AGRWTH","M","2022-05",7.435653,
"DNK","CPI","TOT","AGRWTH","M","2022-06",8.190476,
"DNK","CPI","TOT","AGRWTH","M","2022-07",8.703879,
"DNK","CPI","TOT","AGRWTH","M","2022-08",8.909952,
"DNK","CPI","TOT","AGRWTH","M","2022-09",10.0189,
"DNK","CPI","TOT","AGRWTH","M","2022-10",10.11236,
"DNK","CPI","TOT","AGRWTH","M","2022-11",8.870214,
"DNK","CPI","TOT","AGRWTH","M","2022-12",8.724202,
"DNK","CPI","TOT","AGRWTH","M","2023-01",7.678076,
"DNK","CPI","TOT","AGRWTH","M","2023-02",7.600733,
"DNK","CPI","TOT","AGRWTH","M","2023-03",6.733394,
"DNK","CPI","TOT","AGRWTH","M","2023-04",5.282005,
"DNK","CPI","TOT","AGRWTH","M","2023-05",2.928128,
"DNK","CPI","TOT","AGRWTH","M","2023-06",2.464789,
"DNK","CPI","TOT","AGRWTH","M","2023-07",3.133159,
"DNK","CPI","TOT","AGRWTH","M","2023-08",2.436902,
"DNK","CPI","TOT","AGRWTH","M","2023-09",0.8591065,
"DNK","CPI","TOT","AGRWTH","M","2023-10",0.08503401,
"DNK","CPI","TOT","AGRWTH","M","2023-11",0.600343,
"FIN","CPI","TOT","AGRWTH","M","2021-10",3.159619,
"FIN","CPI","TOT","AGRWTH","M","2021-11",3.691922,
"FIN","CPI","TOT","AGRWTH","M","2021-12",3.465204,
"FIN","CPI","TOT","AGRWTH","M","2022-01",4.37452,
"FIN","CPI","TOT","AGRWTH","M","2022-02",4.530683,
"FIN","CPI","TOT","AGRWTH","M","2022-03",5.797654,
"FIN","CPI","TOT","AGRWTH","M","2022-04",5.738172,
"FIN","CPI","TOT","AGRWTH","M","2022-05",6.962626,
"FIN","CPI","TOT","AGRWTH","M","2022-06",7.792331,
"FIN","CPI","TOT","AGRWTH","M","2022-07",7.785451,
"FIN","CPI","TOT","AGRWTH","M","2022-08",7.616082,
"FIN","CPI","TOT","AGRWTH","M","2022-09",8.119296,
"FIN","CPI","TOT","AGRWTH","M","2022-10",8.310766,
"FIN","CPI","TOT","AGRWTH","M","2022-11",9.138235,
"FIN","CPI","TOT","AGRWTH","M","2022-12",9.145037,
"FIN","CPI","TOT","AGRWTH","M","2023-01",8.446692,
"FIN","CPI","TOT","AGRWTH","M","2023-02",8.796635,
"FIN","CPI","TOT","AGRWTH","M","2023-03",7.931501,
"FIN","CPI","TOT","AGRWTH","M","2023-04",7.924528,
"FIN","CPI","TOT","AGRWTH","M","2023-05",6.819794,
"FIN","CPI","TOT","AGRWTH","M","2023-06",6.269261,
"FIN","CPI","TOT","AGRWTH","M","2023-07",6.45954,
"FIN","CPI","TOT","AGRWTH","M","2023-08",5.612558,
"FIN","CPI","TOT","AGRWTH","M","2023-09",5.534285,
"FIN","CPI","TOT","AGRWTH","M","2023-10",4.853867,
"FRA","CPI","TOT","AGRWTH","M","2021-10",2.621759,
"FRA","CPI","TOT","AGRWTH","M","2021-11",2.778574,
"FRA","CPI","TOT","AGRWTH","M","2021-12",2.75343,
"FRA","CPI","TOT","AGRWTH","M","2022-01",2.853881,
"FRA","CPI","TOT","AGRWTH","M","2022-02",3.633942,
"FRA","CPI","TOT","AGRWTH","M","2022-03",4.482269,
"FRA","CPI","TOT","AGRWTH","M","2022-04",4.82713,
"FRA","CPI","TOT","AGRWTH","M","2022-05",5.19774,
"FRA","CPI","TOT","AGRWTH","M","2022-06",5.839759,
"FRA","CPI","TOT","AGRWTH","M","2022-07",6.080827,
"FRA","CPI","TOT","AGRWTH","M","2022-08",5.913125,
"FRA","CPI","TOT","AGRWTH","M","2022-09",5.551915,
"FRA","CPI","TOT","AGRWTH","M","2022-10",6.200466,
"FRA","CPI","TOT","AGRWTH","M","2022-11",6.15013,
"FRA","CPI","TOT","AGRWTH","M","2022-12",5.850718,
"FRA","CPI","TOT","AGRWTH","M","2023-01",5.993341,
"FRA","CPI","TOT","AGRWTH","M","2023-02",6.278686,
"FRA","CPI","TOT","AGRWTH","M","2023-03",5.701873,
"FRA","CPI","TOT","AGRWTH","M","2023-04",5.884473,
"FRA","CPI","TOT","AGRWTH","M","2023-05",5.119943,
"FRA","CPI","TOT","AGRWTH","M","2023-06",4.53132,
"FRA","CPI","TOT","AGRWTH","M","2023-07",4.288119,
"FRA","CPI","TOT","AGRWTH","M","2023-08",4.859764,
"FRA","CPI","TOT","AGRWTH","M","2023-09",4.896221,
"FRA","CPI","TOT","AGRWTH","M","2023-10",3.977173,
"DEU","CPI","TOT","AGRWTH","M","2021-10",4.404405,
"DEU","CPI","TOT","AGRWTH","M","2021-11",4.814443,
"DEU","CPI","TOT","AGRWTH","M","2021-12",4.90982,
"DEU","CPI","TOT","AGRWTH","M","2022-01",4.158416,
"DEU","CPI","TOT","AGRWTH","M","2022-02",4.330709,
"DEU","CPI","TOT","AGRWTH","M","2022-03",5.876592,
"DEU","CPI","TOT","AGRWTH","M","2022-04",6.25,
"DEU","CPI","TOT","AGRWTH","M","2022-05",7.017544,
"DEU","CPI","TOT","AGRWTH","M","2022-06",6.705539,
"DEU","CPI","TOT","AGRWTH","M","2022-07",6.673114,
"DEU","CPI","TOT","AGRWTH","M","2022-08",6.956522,
"DEU","CPI","TOT","AGRWTH","M","2022-09",8.574182,
"DEU","CPI","TOT","AGRWTH","M","2022-10",8.820709,
"DEU","CPI","TOT","AGRWTH","M","2022-11",8.803827,
"DEU","CPI","TOT","AGRWTH","M","2022-12",8.118434,
"DEU","CPI","TOT","AGRWTH","M","2023-01",8.65019,
"DEU","CPI","TOT","AGRWTH","M","2023-02",8.679245,
"DEU","CPI","TOT","AGRWTH","M","2023-03",7.400555,
"DEU","CPI","TOT","AGRWTH","M","2023-04",7.169117,
"DEU","CPI","TOT","AGRWTH","M","2023-05",6.102004,
"DEU","CPI","TOT","AGRWTH","M","2023-06",6.375227,
"DEU","CPI","TOT","AGRWTH","M","2023-07",6.165005,
"DEU","CPI","TOT","AGRWTH","M","2023-08",6.142728,
"DEU","CPI","TOT","AGRWTH","M","2023-09",4.525289,
"DEU","CPI","TOT","AGRWTH","M","2023-10",3.788546,
"DEU","CPI","TOT","AGRWTH","M","2023-11",3.166227,
"GRC","CPI","TOT","AGRWTH","M","2021-10",3.413519,
"GRC","CPI","TOT","AGRWTH","M","2021-11",4.822838,
"GRC","CPI","TOT","AGRWTH","M","2021-12",5.114928,
"GRC","CPI","TOT","AGRWTH","M","2022-01",6.249706,
"GRC","CPI","TOT","AGRWTH","M","2022-02",7.214007,
"GRC","CPI","TOT","AGRWTH","M","2022-03",8.850036,
"GRC","CPI","TOT","AGRWTH","M","2022-04",10.17281,
"GRC","CPI","TOT","AGRWTH","M","2022-05",11.32933,
"GRC","CPI","TOT","AGRWTH","M","2022-06",12.09375,
"GRC","CPI","TOT","AGRWTH","M","2022-07",11.59072,
"GRC","CPI","TOT","AGRWTH","M","2022-08",11.40379,
"GRC","CPI","TOT","AGRWTH","M","2022-09",12.02402,
"GRC","CPI","TOT","AGRWTH","M","2022-10",9.06504,
"GRC","CPI","TOT","AGRWTH","M","2022-11",8.539313,
"GRC","CPI","TOT","AGRWTH","M","2022-12",7.224042,
"GRC","CPI","TOT","AGRWTH","M","2023-01",6.98927,
"GRC","CPI","TOT","AGRWTH","M","2023-02",6.126267,
"GRC","CPI","TOT","AGRWTH","M","2023-03",4.572855,
"GRC","CPI","TOT","AGRWTH","M","2023-04",3.039219,
"GRC","CPI","TOT","AGRWTH","M","2023-05",2.781513,
"GRC","CPI","TOT","AGRWTH","M","2023-06",1.760478,
"GRC","CPI","TOT","AGRWTH","M","2023-07",2.470822,
"GRC","CPI","TOT","AGRWTH","M","2023-08",2.744105,
"GRC","CPI","TOT","AGRWTH","M","2023-09",1.62896,
"GRC","CPI","TOT","AGRWTH","M","2023-10",3.398893,
